snapshot_utc,mmsi,name,imo,ship_type,loa,beam,draught_m,lat,lon,sog,nav_status,terminal,berth_sub,at_berth,likely_lng_carrier,destination,n_pos,first_seen,last_seen
2026-09-08T00:30:16+00:00,244690971,MANTRA,0.0,79.0,55.0,6.0,0.3,51.95038666666667,4.125406666666667,0.0,15,gate,,False,False,LE HAVRE,9,2026-09-08 00:30:16.809766855 +0000 UTC,2026-09-08 00:38:11.54079421 +0000 UTC
2026-09-08T00:30:16+00:00,228260170,COTE DE JADE,,,,,,47.27778833333333,-2.1992866666666666,0.0,0,montoir,,False,False,,7,2026-09-08 00:30:17.061119492 +0000 UTC,2026-09-08 00:37:51.941389151 +0000 UTC
2026-09-08T00:30:16+00:00,205590390,POLYBOTES,6004003.0,70.0,110.0,12.0,2.2,51.34865666666667,3.189983333333333,0.0,0,zeebrugge,zeebrugge,True,False,ZEEBRUGGE,5,2026-09-08 00:30:18.235443235 +0000 UTC,2026-09-08 00:37:59.463451045 +0000 UTC
2026-09-08T00:30:16+00:00,366273000,SEAKAY SKY,9353553.0,80.0,183.0,32.0,8.2,29.572165,-93.66291,0.0,1,depart_sabine_pass,,False,True,SABINE PASS TX,2,2026-09-08 00:30:18.793712359 +0000 UTC,2026-09-08 00:37:24.616589052 +0000 UTC
2026-09-08T00:30:16+00:00,246582000,RWS 74,9479266.0,99.0,24.0,6.0,1.4,53.44473333333334,6.824883333333333,0.0,0,eems,,False,False,NL EEM,4,2026-09-08 00:30:19.234033831 +0000 UTC,2026-09-08 00:38:09.208514044 +0000 UTC
2026-09-08T00:30:16+00:00,219031856,WSC SPEED 1,9996379.0,40.0,27.0,10.0,2.0,53.444579999999995,6.826333333333333,0.0,5,eems,,False,False,EEMSHAVEN,2,2026-09-08 00:30:19.53831851 +0000 UTC,2026-09-08 00:36:17.731353144 +0000 UTC
2026-09-08T00:30:16+00:00,244757000,RPA 16,0.0,99.0,32.0,9.0,0.0,51.96116333333334,4.089858333333334,0.0,0,gate,,False,False,,6,2026-09-08 00:30:19.539368405 +0000 UTC,2026-09-08 00:38:07.371250341 +0000 UTC
2026-09-08T00:30:16+00:00,230042000,BALTIC BRIGHT,9129263.0,70.0,134.0,20.0,5.6,51.44347833333334,0.7434666666666666,0.0,5,grain,,False,False,GBSHS,2,2026-09-08 00:30:19.995482901 +0000 UTC,2026-09-08 00:36:42.09312561 +0000 UTC
2026-09-08T00:30:16+00:00,205149000,MFV Z38 ZUIDERZEE,0.0,30.0,30.0,8.0,4.0,51.323060000000005,3.2021900000000003,0.0,0,zeebrugge,,False,False,SEA,6,2026-09-08 00:30:20.121216197 +0000 UTC,2026-09-08 00:37:59.242664086 +0000 UTC
2026-09-08T00:30:16+00:00,244791000,VB ROB,,,,,,51.9578,4.006616666666667,0.0,0,gate,,False,False,,8,2026-09-08 00:30:20.162907694 +0000 UTC,2026-09-08 00:37:39.791681962 +0000 UTC
2026-09-08T00:30:16+00:00,305073300,LADY ANNA,9523756.0,70.0,97.0,16.0,6.0,53.891445,9.141283333333332,4.2,0,brunsbuettel,,False,False,BELFAST,6,2026-09-08 00:30:20.483408984 +0000 UTC,2026-09-08 00:37:50.222470134 +0000 UTC
2026-09-08T00:30:16+00:00,244790048,HYDROVAC 12,0.0,89.0,86.0,10.0,2.0,51.959399999999995,4.0335,0.0,5,gate,,False,False,ROTTERDAM AMAZONEHA,1,2026-09-08 00:30:20.860318571 +0000 UTC,2026-09-08 00:36:21.409078936 +0000 UTC
2026-09-08T00:30:16+00:00,255806342,UHL FAITH,9892482.0,70.0,150.0,26.0,6.6,53.456109999999995,6.826081666666667,0.0,5,eems,,False,False,EEMSHAVEN,2,2026-09-08 00:30:21.313295365 +0000 UTC,2026-09-08 00:33:51.472656084 +0000 UTC
2026-09-08T00:30:16+00:00,244770079,NEW JERSEY,,,,,,51.34358666666667,3.193411666666667,0.0,0,zeebrugge,zeebrugge,True,False,,9,2026-09-08 00:30:21.388400228 +0000 UTC,2026-09-08 00:37:40.944731073 +0000 UTC
2026-09-08T00:30:16+00:00,244620962,ALFA MENTA,,,,,,51.96004833333333,4.115256666666666,0.0,0,gate,,False,False,,8,2026-09-08 00:30:21.623106998 +0000 UTC,2026-09-08 00:38:00.622364917 +0000 UTC
2026-09-08T00:30:16+00:00,255915848,NORDIC FELICIA,1089211.0,70.0,89.0,16.0,4.5,51.95169,4.1280850000000004,0.0,5,gate,,False,False,PLSZZ,3,2026-09-08 00:30:22.59637788 +0000 UTC,2026-09-08 00:36:25.246938001 +0000 UTC
2026-09-08T00:30:16+00:00,244750694,VEERWEL,0.0,60.0,22.0,5.0,1.6,51.97701666666667,4.1252233333333335,0.0,0,gate,,False,False,,6,2026-09-08 00:30:22.617948354 +0000 UTC,2026-09-08 00:37:43.144838392 +0000 UTC
