snapshot_utc,terminal,metric,maturity,pub_id,gas_day,value,unit,quality,generated_at,detail,item_name
2026-08-31T23:44:27+00:00,grain,send_out,D+1,PUBOBJ605,2026-08-28,0,kWh,L,2026-08-29T12:01:00,"Grain NTS1, physical","System Entry Energy, GrainNTS1, D+1"
2026-08-31T23:44:27+00:00,grain,send_out,D+1,PUBOBJ605,2026-08-29,0,kWh,L,2026-08-30T12:01:01,"Grain NTS1, physical","System Entry Energy, GrainNTS1, D+1"
2026-08-31T23:44:27+00:00,grain,send_out,D+1,PUBOBJ605,2026-08-30,0,kWh,L,2026-08-31T12:01:01,"Grain NTS1, physical","System Entry Energy, GrainNTS1, D+1"
2026-08-31T23:44:27+00:00,grain,send_out,D+1,PUBOBJ606,2026-08-28,0,kWh,L,2026-08-29T12:01:00,"Grain NTS2, physical","System Entry Energy, GrainNTS2, D+1"
2026-08-31T23:44:27+00:00,grain,send_out,D+1,PUBOBJ606,2026-08-29,0,kWh,L,2026-08-30T12:01:01,"Grain NTS2, physical","System Entry Energy, GrainNTS2, D+1"
2026-08-31T23:44:27+00:00,grain,send_out,D+1,PUBOBJ606,2026-08-30,0,kWh,L,2026-08-31T12:01:01,"Grain NTS2, physical","System Entry Energy, GrainNTS2, D+1"
2026-08-31T23:44:27+00:00,grain,send_out,D+2,PUBOB370,2026-08-28,0,kWh,,2026-08-30T10:00:00,"Grain NTS1, commercial","System Entry Energy, Grain NTS 1, D+2"
2026-08-31T23:44:27+00:00,grain,send_out,D+2,PUBOB370,2026-08-29,0,kWh,,2026-08-31T10:00:00,"Grain NTS1, commercial","System Entry Energy, Grain NTS 1, D+2"
2026-08-31T23:44:27+00:00,grain,send_out,D+2,PUBOB3474,2026-08-28,0,kWh,,2026-08-30T10:00:00,"Grain NTS2, commercial","System Entry Energy, Grain NTS 2, D+2"
2026-08-31T23:44:27+00:00,grain,send_out,D+2,PUBOB3474,2026-08-29,0,kWh,,2026-08-31T10:00:00,"Grain NTS2, commercial","System Entry Energy, Grain NTS 2, D+2"
2026-08-31T23:44:27+00:00,south_hook,send_out,D+1,PUBOBJ607,2026-08-28,71997223,kWh,L,2026-08-29T12:01:00,physical,"System Entry Energy, SouthHook, D+1"
