snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T04:00:00+02:00,2026-09-23T05:00:00+02:00,Physical Flow,hour,20055833,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T06:27:29+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T05:00:00+02:00,2026-09-23T06:00:00+02:00,Physical Flow,hour,20080556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T07:37:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T06:00:00+02:00,2026-09-23T07:00:00+02:00,Physical Flow,hour,20224167,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T08:53:29+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T07:00:00+02:00,2026-09-23T08:00:00+02:00,Physical Flow,hour,20290556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T09:59:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T08:00:00+02:00,2026-09-23T09:00:00+02:00,Physical Flow,hour,20310556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T11:08:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T09:00:00+02:00,2026-09-23T10:00:00+02:00,Physical Flow,hour,20256111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T12:10:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T10:00:00+02:00,2026-09-23T11:00:00+02:00,Physical Flow,hour,20206667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T13:05:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T11:00:00+02:00,2026-09-23T12:00:00+02:00,Physical Flow,hour,20225000,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T13:36:29+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T12:00:00+02:00,2026-09-23T13:00:00+02:00,Physical Flow,hour,20228889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T14:40:29+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T13:00:00+02:00,2026-09-23T14:00:00+02:00,Physical Flow,hour,20360833,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T16:48:30+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T14:00:00+02:00,2026-09-23T15:00:00+02:00,Physical Flow,hour,20381111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T16:48:30+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T15:00:00+02:00,2026-09-23T16:00:00+02:00,Physical Flow,hour,20303056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T17:44:50+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T16:00:00+02:00,2026-09-23T17:00:00+02:00,Physical Flow,hour,20248485,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T19:29:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T17:00:00+02:00,2026-09-23T18:00:00+02:00,Physical Flow,hour,20256667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T19:29:09+02:00
