snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T06:00:00+02:00,2026-09-14T07:00:00+02:00,Physical Flow,hour,20030833,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-14T20:57:50+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T07:00:00+02:00,2026-09-14T08:00:00+02:00,Physical Flow,hour,20094167,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-14T21:23:50+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T08:00:00+02:00,2026-09-14T09:00:00+02:00,Physical Flow,hour,20099444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-14T21:53:29+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T09:00:00+02:00,2026-09-14T10:00:00+02:00,Physical Flow,hour,20127500,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-14T22:15:30+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T10:00:00+02:00,2026-09-14T11:00:00+02:00,Physical Flow,hour,20107778,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-14T23:23:10+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T11:00:00+02:00,2026-09-14T12:00:00+02:00,Physical Flow,hour,20116389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-14T23:41:49+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T12:00:00+02:00,2026-09-14T13:00:00+02:00,Physical Flow,hour,20105000,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-15T00:40:49+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T13:00:00+02:00,2026-09-14T14:00:00+02:00,Physical Flow,hour,20083889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-15T01:32:30+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T14:00:00+02:00,2026-09-14T15:00:00+02:00,Physical Flow,hour,20063889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-15T02:40:29+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T15:00:00+02:00,2026-09-14T16:00:00+02:00,Physical Flow,hour,20056667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-15T03:02:30+02:00
2026-09-15T21:46:35+00:00,gate,2026-09-14,2026-09-14T16:00:00+02:00,2026-09-14T17:00:00+02:00,Physical Flow,hour,20132778,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-15T03:44:29+02:00
