snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T08:00:00+02:00,2026-09-12T09:00:00+02:00,Physical Flow,hour,19418333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T11:52:50+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T09:00:00+02:00,2026-09-12T10:00:00+02:00,Physical Flow,hour,19500000,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T12:15:29+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T10:00:00+02:00,2026-09-12T11:00:00+02:00,Physical Flow,hour,19497778,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T12:43:29+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T11:00:00+02:00,2026-09-12T12:00:00+02:00,Physical Flow,hour,19496389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T13:36:29+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T12:00:00+02:00,2026-09-12T13:00:00+02:00,Physical Flow,hour,19489444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T14:39:30+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T13:00:00+02:00,2026-09-12T14:00:00+02:00,Physical Flow,hour,19491389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T15:34:29+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T14:00:00+02:00,2026-09-12T15:00:00+02:00,Physical Flow,hour,19507500,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T16:24:29+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T15:00:00+02:00,2026-09-12T16:00:00+02:00,Physical Flow,hour,19491111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T17:37:51+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T16:00:00+02:00,2026-09-12T17:00:00+02:00,Physical Flow,hour,19530556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T18:19:29+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T17:00:00+02:00,2026-09-12T18:00:00+02:00,Physical Flow,hour,19505000,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T19:30:29+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T18:00:00+02:00,2026-09-12T19:00:00+02:00,Physical Flow,hour,19469167,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T20:25:30+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T19:00:00+02:00,2026-09-12T20:00:00+02:00,Physical Flow,hour,19480833,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T22:24:49+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T20:00:00+02:00,2026-09-12T21:00:00+02:00,Physical Flow,hour,19436389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T23:24:29+02:00
2026-09-13T21:08:01+00:00,gate,2026-09-12,2026-09-12T21:00:00+02:00,2026-09-12T22:00:00+02:00,Physical Flow,hour,19414722,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-12T23:24:29+02:00
