snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T06:00:00+02:00,2026-09-02T07:00:00+02:00,Physical Flow,hour,18855556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T08:50:09+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T07:00:00+02:00,2026-09-02T08:00:00+02:00,Physical Flow,hour,18765556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T09:53:09+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,Physical Flow,hour,18756944,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T12:51:49+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T09:00:00+02:00,2026-09-02T10:00:00+02:00,Physical Flow,hour,18711389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T12:51:49+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T10:00:00+02:00,2026-09-02T11:00:00+02:00,Physical Flow,hour,18600000,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T12:51:49+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T11:00:00+02:00,2026-09-02T12:00:00+02:00,Physical Flow,hour,18722500,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T14:40:15+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T12:00:00+02:00,2026-09-02T13:00:00+02:00,Physical Flow,hour,18804444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T14:40:15+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T13:00:00+02:00,2026-09-02T14:00:00+02:00,Physical Flow,hour,18825278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T15:38:11+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T14:00:00+02:00,2026-09-02T15:00:00+02:00,Physical Flow,hour,18813333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T16:50:10+02:00
2026-09-03T14:56:12+00:00,gate,2026-09-02,2026-09-02T15:00:00+02:00,2026-09-02T16:00:00+02:00,Physical Flow,hour,18839444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-02T17:43:29+02:00
