snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T06:00:00+02:00,2026-09-19T07:00:00+02:00,Physical Flow,hour,20007500,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T08:48:10+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T07:00:00+02:00,2026-09-19T08:00:00+02:00,Physical Flow,hour,20008056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T09:49:49+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T08:00:00+02:00,2026-09-19T09:00:00+02:00,Physical Flow,hour,19914444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T10:57:50+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T09:00:00+02:00,2026-09-19T10:00:00+02:00,Physical Flow,hour,19759167,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T11:58:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T10:00:00+02:00,2026-09-19T11:00:00+02:00,Physical Flow,hour,19857500,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T12:56:09+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T11:00:00+02:00,2026-09-19T12:00:00+02:00,Physical Flow,hour,19730556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T13:30:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T12:00:00+02:00,2026-09-19T13:00:00+02:00,Physical Flow,hour,19707222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T14:38:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T13:00:00+02:00,2026-09-19T14:00:00+02:00,Physical Flow,hour,19769091,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T16:48:50+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T14:00:00+02:00,2026-09-19T15:00:00+02:00,Physical Flow,hour,19975833,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T16:48:50+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T15:00:00+02:00,2026-09-19T16:00:00+02:00,Physical Flow,hour,20143333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T17:44:09+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T16:00:00+02:00,2026-09-19T17:00:00+02:00,Physical Flow,hour,20072222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T19:27:49+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T17:00:00+02:00,2026-09-19T18:00:00+02:00,Physical Flow,hour,19942121,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T19:27:49+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T18:00:00+02:00,2026-09-19T19:00:00+02:00,Physical Flow,hour,19886667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T20:26:50+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T19:00:00+02:00,2026-09-19T20:00:00+02:00,Physical Flow,hour,19844167,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T22:28:49+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T20:00:00+02:00,2026-09-19T21:00:00+02:00,Physical Flow,hour,19851111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T23:26:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T21:00:00+02:00,2026-09-19T22:00:00+02:00,Physical Flow,hour,19861389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-19T23:26:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T22:00:00+02:00,2026-09-19T23:00:00+02:00,Physical Flow,hour,19931111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T00:25:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-19,2026-09-19T23:00:00+02:00,2026-09-20T00:00:00+02:00,Physical Flow,hour,20015556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T01:28:10+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T00:00:00+02:00,2026-09-20T01:00:00+02:00,Physical Flow,hour,19971389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T02:31:50+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T01:00:00+02:00,2026-09-20T02:00:00+02:00,Physical Flow,hour,19943333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T04:29:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T02:00:00+02:00,2026-09-20T03:00:00+02:00,Physical Flow,hour,19916111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T04:29:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T03:00:00+02:00,2026-09-20T04:00:00+02:00,Physical Flow,hour,19937778,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T05:28:49+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T04:00:00+02:00,2026-09-20T05:00:00+02:00,Physical Flow,hour,19798333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T06:27:50+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T05:00:00+02:00,2026-09-20T06:00:00+02:00,Physical Flow,hour,19865556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T07:40:29+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T06:00:00+02:00,2026-09-20T07:00:00+02:00,Physical Flow,hour,19931111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T08:51:50+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T07:00:00+02:00,2026-09-20T08:00:00+02:00,Physical Flow,hour,19939444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T09:52:58+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T08:00:00+02:00,2026-09-20T09:00:00+02:00,Physical Flow,hour,19938182,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T10:56:08+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T09:00:00+02:00,2026-09-20T10:00:00+02:00,Physical Flow,hour,19891111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T11:54:09+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T10:00:00+02:00,2026-09-20T11:00:00+02:00,Physical Flow,hour,19853056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T12:53:51+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T11:00:00+02:00,2026-09-20T12:00:00+02:00,Physical Flow,hour,19811667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T14:26:09+02:00
2026-09-20T14:38:13+00:00,gate,2026-09-20,2026-09-20T12:00:00+02:00,2026-09-20T13:00:00+02:00,Physical Flow,hour,19773333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-20T14:26:09+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T06:00:00+02:00,2026-09-19T07:00:00+02:00,Physical Flow,hour,11444167,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T08:48:10+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T07:00:00+02:00,2026-09-19T08:00:00+02:00,Physical Flow,hour,11532500,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T09:49:49+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T08:00:00+02:00,2026-09-19T09:00:00+02:00,Physical Flow,hour,11532500,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T10:57:50+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T09:00:00+02:00,2026-09-19T10:00:00+02:00,Physical Flow,hour,11510278,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T11:58:29+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T10:00:00+02:00,2026-09-19T11:00:00+02:00,Physical Flow,hour,11501944,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T12:56:09+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T11:00:00+02:00,2026-09-19T12:00:00+02:00,Physical Flow,hour,11514444,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T13:30:29+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T12:00:00+02:00,2026-09-19T13:00:00+02:00,Physical Flow,hour,11531667,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T14:38:29+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T13:00:00+02:00,2026-09-19T14:00:00+02:00,Physical Flow,hour,11525833,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T16:48:50+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T14:00:00+02:00,2026-09-19T15:00:00+02:00,Physical Flow,hour,11545833,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T16:48:50+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T15:00:00+02:00,2026-09-19T16:00:00+02:00,Physical Flow,hour,11545833,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T17:44:09+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T16:00:00+02:00,2026-09-19T17:00:00+02:00,Physical Flow,hour,11561667,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T19:27:49+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T17:00:00+02:00,2026-09-19T18:00:00+02:00,Physical Flow,hour,11554167,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T19:27:49+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T18:00:00+02:00,2026-09-19T19:00:00+02:00,Physical Flow,hour,11563333,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T20:26:50+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T19:00:00+02:00,2026-09-19T20:00:00+02:00,Physical Flow,hour,11565833,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T22:28:49+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T20:00:00+02:00,2026-09-19T21:00:00+02:00,Physical Flow,hour,11588056,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T23:26:29+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T21:00:00+02:00,2026-09-19T22:00:00+02:00,Physical Flow,hour,11571111,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-19T23:26:29+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T22:00:00+02:00,2026-09-19T23:00:00+02:00,Physical Flow,hour,11571389,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-20T00:25:29+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-19,2026-09-19T23:00:00+02:00,2026-09-20T00:00:00+02:00,Physical Flow,hour,11555000,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-20T01:28:10+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-20,2026-09-20T00:00:00+02:00,2026-09-20T01:00:00+02:00,Physical Flow,hour,11558333,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-20T02:31:50+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-20,2026-09-20T01:00:00+02:00,2026-09-20T02:00:00+02:00,Physical Flow,hour,11563889,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-20T04:29:29+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-20,2026-09-20T02:00:00+02:00,2026-09-20T03:00:00+02:00,Physical Flow,hour,11548333,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-20T04:29:29+02:00
2026-09-20T14:38:13+00:00,eems,2026-09-20,2026-09-20T03:00:00+02:00,2026-09-20T04:00:00+02:00,Physical Flow,hour,11530833,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-20T05:28:49+02:00
