snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-30T07:00:00+02:00,Physical Flow,hour,18662500,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T08:46:49+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T07:00:00+02:00,2026-08-30T08:00:00+02:00,Physical Flow,hour,18601389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T09:45:29+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T08:00:00+02:00,2026-08-30T09:00:00+02:00,Physical Flow,hour,18678611,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T10:56:29+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T09:00:00+02:00,2026-08-30T10:00:00+02:00,Physical Flow,hour,18715833,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T11:49:50+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T10:00:00+02:00,2026-08-30T11:00:00+02:00,Physical Flow,hour,18788889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T12:39:29+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T11:00:00+02:00,2026-08-30T12:00:00+02:00,Physical Flow,hour,18670278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T14:36:50+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T12:00:00+02:00,2026-08-30T13:00:00+02:00,Physical Flow,hour,18593333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T14:36:50+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T13:00:00+02:00,2026-08-30T14:00:00+02:00,Physical Flow,hour,18646389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T15:37:30+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T14:00:00+02:00,2026-08-30T15:00:00+02:00,Physical Flow,hour,18654167,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T16:24:29+02:00
2026-08-31T23:03:48+00:00,gate,2026-08-30,2026-08-30T15:00:00+02:00,2026-08-30T16:00:00+02:00,Physical Flow,hour,18669444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T17:40:29+02:00
