snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T06:00:00+02:00,2026-09-25T07:00:00+02:00,Physical Flow,hour,20219722,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T08:39:49+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T08:00:00+02:00,2026-09-25T09:00:00+02:00,Physical Flow,hour,20128788,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T11:04:29+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T09:00:00+02:00,2026-09-25T10:00:00+02:00,Physical Flow,hour,20085278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T12:10:29+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T10:00:00+02:00,2026-09-25T11:00:00+02:00,Physical Flow,hour,20051389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T13:01:10+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T11:00:00+02:00,2026-09-25T12:00:00+02:00,Physical Flow,hour,20121212,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T14:40:09+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T12:00:00+02:00,2026-09-25T13:00:00+02:00,Physical Flow,hour,20163056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T14:40:09+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T13:00:00+02:00,2026-09-25T14:00:00+02:00,Physical Flow,hour,20204242,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T15:40:50+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T14:00:00+02:00,2026-09-25T15:00:00+02:00,Physical Flow,hour,20232222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T16:47:09+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T15:00:00+02:00,2026-09-25T16:00:00+02:00,Physical Flow,hour,20236111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T17:54:32+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T16:00:00+02:00,2026-09-25T17:00:00+02:00,Physical Flow,hour,20254444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T18:39:49+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T17:00:00+02:00,2026-09-25T18:00:00+02:00,Physical Flow,hour,20223030,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T19:20:50+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T18:00:00+02:00,2026-09-25T19:00:00+02:00,Physical Flow,hour,20213056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T20:28:49+02:00
2026-09-26T14:56:22+00:00,gate,2026-09-25,2026-09-25T19:00:00+02:00,2026-09-25T20:00:00+02:00,Physical Flow,hour,20142222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-25T21:31:49+02:00
