snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T06:00:00+02:00,2026-09-18T07:00:00+02:00,Physical Flow,hour,20390556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T08:50:09+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T07:00:00+02:00,2026-09-18T08:00:00+02:00,Physical Flow,hour,20435556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T09:56:09+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T08:00:00+02:00,2026-09-18T09:00:00+02:00,Physical Flow,hour,20451515,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T11:02:29+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T09:00:00+02:00,2026-09-18T10:00:00+02:00,Physical Flow,hour,20380556,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T12:16:29+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T10:00:00+02:00,2026-09-18T11:00:00+02:00,Physical Flow,hour,20244722,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T13:28:09+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T11:00:00+02:00,2026-09-18T12:00:00+02:00,Physical Flow,hour,20245833,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T14:00:30+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T12:00:00+02:00,2026-09-18T13:00:00+02:00,Physical Flow,hour,20276111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T14:59:09+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T13:00:00+02:00,2026-09-18T14:00:00+02:00,Physical Flow,hour,20381944,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T15:50:29+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T14:00:00+02:00,2026-09-18T15:00:00+02:00,Physical Flow,hour,20395278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T16:52:50+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T15:00:00+02:00,2026-09-18T16:00:00+02:00,Physical Flow,hour,20327222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T17:57:49+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T16:00:00+02:00,2026-09-18T17:00:00+02:00,Physical Flow,hour,20324167,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T18:59:09+02:00
2026-09-19T21:03:49+00:00,gate,2026-09-18,2026-09-18T17:00:00+02:00,2026-09-18T18:00:00+02:00,Physical Flow,hour,20313889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-18T20:27:50+02:00
