snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T06:00:00+02:00,2026-09-13T07:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T07:00:00+02:00,2026-09-13T08:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T08:00:00+02:00,2026-09-13T09:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T09:00:00+02:00,2026-09-13T10:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T10:00:00+02:00,2026-09-13T11:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T11:00:00+02:00,2026-09-13T12:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T12:00:00+02:00,2026-09-13T13:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T13:00:00+02:00,2026-09-13T14:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T14:00:00+02:00,2026-09-13T15:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T15:00:00+02:00,2026-09-13T16:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T16:00:00+02:00,2026-09-13T17:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T17:00:00+02:00,2026-09-13T18:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T18:00:00+02:00,2026-09-13T19:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-14T00:12:41+00:00,dunkerque,2026-09-13,2026-09-13T19:00:00+02:00,2026-09-13T20:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
