snapshot_utc,terminal,gas_day,facility_eic,company_eic,country,facility_name,inventory_1e3m3,inventory_gwh,send_out_gwh_d,dtmi_1e3m3,dtmi_gwh,dtrs_gwh_d,contracted_capacity,available_capacity,status,updated_at,latitude,longitude,info
2026-08-31T23:44:27+00:00,gate,2026-08-31,21W0000000000079,21X000000001063H,NL,Rotterdam Gate Terminal,234.98,1593.42,448.3,540.0,3661.79,523.0,523.0,0.0,E,2026-08-31 06:40:11,51.9737,4.0728,
2026-08-31T23:44:27+00:00,gate,2026-08-30,21W0000000000079,21X000000001063H,NL,Rotterdam Gate Terminal,234.98,1593.42,448.3,540.0,3661.79,523.0,523.0,0.0,C,2026-08-31 06:40:11,51.9737,4.0728,
2026-08-31T23:44:27+00:00,gate,2026-08-29,21W0000000000079,21X000000001063H,NL,Rotterdam Gate Terminal,273.47,1785.68,448.3,540.0,3526.04,523.0,523.0,0.0,C,2026-08-30 06:40:04,51.9737,4.0728,
2026-08-31T23:44:27+00:00,gate,2026-08-28,21W0000000000079,21X000000001063H,NL,Rotterdam Gate Terminal,192.76,1309.64,448.4,540.0,3668.84,523.0,523.0,0.0,C,2026-08-29 06:40:04,51.9737,4.0728,
2026-08-31T23:44:27+00:00,eems,2026-08-31,52W000000000001W,52X000000000088H,NL,EemsEnergy LNG Terminal (FSRU Eemshaven LNG),94.94,487.73,299.5,175.4,901.07,341.7,250.4,0.0,E,2026-08-31 06:40:09,53.4448,6.8473,
2026-08-31T23:44:27+00:00,eems,2026-08-30,52W000000000001W,52X000000000088H,NL,EemsEnergy LNG Terminal (FSRU Eemshaven LNG),94.94,487.73,299.5,175.4,901.07,341.7,250.4,0.0,C,2026-08-31 06:40:09,53.4448,6.8473,
2026-08-31T23:44:27+00:00,eems,2026-08-29,52W000000000001W,52X000000000088H,NL,EemsEnergy LNG Terminal (FSRU Eemshaven LNG),140.5,787.25,299.5,175.4,982.8,341.7,250.4,0.0,C,2026-08-30 06:40:03,53.4448,6.8473,
2026-08-31T23:44:27+00:00,eems,2026-08-28,52W000000000001W,52X000000000088H,NL,EemsEnergy LNG Terminal (FSRU Eemshaven LNG),97.67,510.19,249.3,175.4,916.22,341.7,250.4,0.0,C,2026-08-29 06:40:03,53.4448,6.8473,
2026-08-31T23:44:27+00:00,zeebrugge,2026-08-31,21W0000000001245,21X000000001006T,BE,Zeebrugge LNG Terminal,310.01,2085.63,165.7,566.0,3807.83,724.1,724.1,0.0,E,2026-08-31 12:20:18,51.3529,3.1819,
2026-08-31T23:44:27+00:00,zeebrugge,2026-08-30,21W0000000001245,21X000000001006T,BE,Zeebrugge LNG Terminal,310.01,2085.63,165.7,566.0,3807.83,724.1,724.1,0.0,C,2026-08-31 12:20:18,51.3529,3.1819,
2026-08-31T23:44:27+00:00,zeebrugge,2026-08-29,21W0000000001245,21X000000001006T,BE,Zeebrugge LNG Terminal,210.92,1404.17,65.9,566.0,3768.06,724.1,724.1,0.0,C,2026-08-30 12:20:03,51.3529,3.1819,
