snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-01T11:36:34+00:00,gate,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,447909444.0,kWh/d,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-30T09:26:10+02:00
2026-09-01T11:36:34+00:00,gate,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,448193056.0,kWh/d,NL-TSO-0001,LNG-00027,entry,Provisional,2026-08-31T09:30:50+02:00
2026-09-01T11:36:34+00:00,gate,2026-08-31,2026-08-31T06:00:00+02:00,2026-09-01T06:00:00+02:00,Physical Flow,day,440005278.0,kWh/d,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-01T09:42:49+02:00
2026-09-01T11:36:34+00:00,eems,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,301190000.0,kWh/d,NL-TSO-0001,LNG-00068,entry,Provisional,2026-08-30T09:26:10+02:00
2026-09-01T11:36:34+00:00,eems,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,297410833.0,kWh/d,NL-TSO-0001,LNG-00068,entry,Provisional,2026-08-31T09:30:50+02:00
2026-09-01T11:36:34+00:00,eems,2026-08-31,2026-08-31T06:00:00+02:00,2026-09-01T06:00:00+02:00,Physical Flow,day,299396667.0,kWh/d,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-01T09:42:49+02:00
2026-09-01T11:36:34+00:00,zeebrugge,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,65868232.0,kWh/d,BE-TSO-0001,LNG-00017,entry,Confirmed,2026-08-30T10:36:09+02:00
2026-09-01T11:36:34+00:00,zeebrugge,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,165713724.0,kWh/d,BE-TSO-0001,LNG-00017,entry,Confirmed,2026-08-31T10:34:09+02:00
2026-09-01T11:36:34+00:00,zeebrugge,2026-08-31,2026-08-31T06:00:00+02:00,2026-09-01T06:00:00+02:00,Physical Flow,day,191397051.0,kWh/d,BE-TSO-0001,LNG-00017,entry,Confirmed,2026-09-01T10:35:43+02:00
2026-09-01T11:36:34+00:00,dunkerque,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,290665395.0,kWh/d,FR-TSO-0003,LNG-00003,entry,Provisional,2026-08-31T15:09:50+02:00
2026-09-01T11:36:34+00:00,dunkerque,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,197104972.0,kWh/d,FR-TSO-0003,LNG-00003,entry,Provisional,2026-08-31T15:09:50+02:00
2026-09-01T11:36:34+00:00,grain,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,0.0,kWh/d,UK-TSO-0001,LNG-00008,entry,Provisional,2026-09-01T12:57:09+02:00
2026-09-01T11:36:34+00:00,grain,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,0.0,kWh/d,UK-TSO-0001,LNG-00008,entry,Provisional,2026-09-01T12:57:09+02:00
2026-09-01T11:36:34+00:00,milford_haven,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,54015374.0,kWh/d,UK-TSO-0001,LNG-00049,entry,Provisional,2026-09-01T12:57:09+02:00
2026-09-01T11:36:34+00:00,milford_haven,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,54040352.0,kWh/d,UK-TSO-0001,LNG-00049,entry,Provisional,2026-09-01T12:57:09+02:00
2026-09-01T11:36:34+00:00,montoir,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,232320273.0,kWh/d,FR-TSO-0003,LNG-00024,entry,Provisional,2026-08-31T15:09:50+02:00
2026-09-01T11:36:34+00:00,montoir,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,230224201.0,kWh/d,FR-TSO-0003,LNG-00024,entry,Provisional,2026-08-31T15:09:50+02:00
2026-09-01T11:36:34+00:00,lehavre,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,0.0,kWh/d,FR-TSO-0003,LNG-00071,entry,Provisional,2026-08-31T15:09:50+02:00
2026-09-01T11:36:34+00:00,lehavre,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,0.0,kWh/d,FR-TSO-0003,LNG-00071,entry,Provisional,2026-08-31T15:09:50+02:00
2026-09-01T11:36:34+00:00,wilhelmshaven,2026-08-29,2026-08-29T06:00:00+02:00,2026-08-30T06:00:00+02:00,Physical Flow,day,247396490.0,kWh/d,DE-TSO-0009,LNG-00083,entry,Provisional,2026-08-30T08:29:30+02:00
2026-09-01T11:36:34+00:00,wilhelmshaven,2026-08-30,2026-08-30T06:00:00+02:00,2026-08-31T06:00:00+02:00,Physical Flow,day,247828421.0,kWh/d,DE-TSO-0009,LNG-00083,entry,Provisional,2026-08-31T08:36:09+02:00
2026-09-01T11:36:34+00:00,wilhelmshaven,2026-08-31,2026-08-31T06:00:00+02:00,2026-09-01T06:00:00+02:00,Physical Flow,day,247413581.0,kWh/d,DE-TSO-0009,LNG-00083,entry,Provisional,2026-09-01T09:34:49+02:00
