snapshot_utc,series,terminal,sub,epoch_ms,time_label,value_mcm_d
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789369200000.0,,3.22046008284017
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789369320000.0,,3.22046008284017
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789369440000.0,,3.21683459455892
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789369560000.0,,3.21683459455892
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789369680000.0,,3.21683459455892
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789369800000.0,,3.17102014143392
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789369920000.0,,3.17102014143392
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789370040000.0,,3.1888187254183
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789370160000.0,,3.1888187254183
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789370280000.0,,3.22441552717611
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789370400000.0,,3.22441552717611
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789370520000.0,,3.2402362058870504
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789370640000.0,,3.2402362058870504
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789370760000.0,,3.16113207991049
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789370880000.0,,3.16113207991049
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371000000.0,,3.1980476072542396
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371120000.0,,3.1980476072542396
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371240000.0,,3.21452746565267
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371360000.0,,3.21452746565267
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371480000.0,,3.19376257307455
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371600000.0,,3.19376257307455
